NAME,LATITUDE,LONGITUDE,RADIUS_M
オートスポーツランドスナガワ,43.489,141.8889,600
十勝スピードウェイ,42.6296,143.2893,900
新千歳モーターランド,42.7739,141.7008,200
イーストジャパンオフロードスタジアム,43.1595,143.3764,300
雨竜・サーキット,43.7063,141.8857,150
夕張バリバリモーターパーク,43.0161,141.9935,150
岩木山百沢スキー場駐車場,40.6269,140.331,250
モーターランドSP,40.4336,141.3978,200
サーキットパーク切谷内,40.5309,141.3768,400
スポーツランドSUGO,38.1405,140.776,700
赤門自動車テストコース,38.3153,140.6298,250
新協和カートランド,39.64,140.4191,150
エビスサーキット,37.641,140.3716,600
筑波サーキット,36.1505,139.922,400
ICC茨城中央サーキット,36.2392,140.17,150
モビリティリゾートもてぎ,36.5302,140.2293,1350
日光サーキット,36.6622,139.8627,200
つくるまサーキット那須,36.9746,139.9402,400
群馬サイクルスポーツセンター,36.7149,138.9391,750
宝台樹スキー場駐車場,36.8376,139.0779,200
桶川スポーツランド,35.973,139.5254,150
本庄サーキット,36.1708,139.1077,200
浅間台スポーツランド,35.8012,140.5071,200
袖ヶ浦フォレスト・レースウェイ,35.3938,140.0891,400
THE MAGARIGAWA CLUB,35.0803,139.8789,700
茂原ツインサーキット,35.3822,140.2817,200
オートランド千葉,35.6439,140.2129,150
NATSダートコース,35.8446,140.4393,150
日本海間瀬サーキット,37.7455,138.8039,500
R-SPEC Kakizaki,37.291,138.4023,150
スピードパーク新潟,38.0888,139.3705,200
イオックスアローザスポーツランド,36.5147,136.8239,250
おわらサーキット,36.6074,137.108,200
輪島市門前モータースポーツ公園,37.3005,136.7397,300
タカスサーキット,36.1385,136.0848,250
スポーツランドやまなし,35.7617,138.5067,250
さるくらモータースポーツランド,35.5306,137.7837,200
モーターランド野沢,36.9712,138.4678,300
スポーツランド信州,36.5146,138.2367,250
YZサーキット,35.4362,137.246,250
めいほうスキー場第三駐車場,35.9408,137.046,400
富士スピードウェイ,35.3705,138.9285,1150
福田自動車教習所,34.6674,137.8936,100
オートランド作手,35.0326,137.4687,150
モーターランド三河,34.9949,137.4513,200
幸田サーキットyrp桐山,34.834,137.1402,300
美浜サーキット,34.7628,136.8722,200
スパ西浦モーターパーク,34.7744,137.1859,300
キョウセイドライバーランド,34.9644,137.2663,300
池の平ワンダーランド,35.2828,137.5663,200
いなべモータースポーツランド,35.1446,136.5725,450
鈴鹿サーキット,34.8431,136.5325,1170
鈴鹿ツインサーキット,34.805,136.4962,450
モーターランド鈴鹿,34.8067,136.5055,150
奥伊吹モーターパーク,35.5215,136.3833,300
セントラルサーキット,35.025,134.9223,450
キャピタルスポーツランド,35.1578,135.13075,100
姫路セントラルパーク第5駐車場,34.8678,134.7631,150
名阪スポーツランド,34.6349,135.998,450
岡山国際サーキット,34.9154,134.2211,700
中山サーキット,34.7867,134.1775,300
備北ハイランドサーキット,34.9749,133.6143,300
なださきレークサイドパーク,34.5666,133.9035,300
TSタカタサーキット,34.7496,132.7114,250
テクニックステージタカタ,34.7485,132.7204,450
スポーツランドTAMADA,34.5619,132.5598,200
楠ハイランドパーク,131.2515,34.121,200
阿讃サーキット,34.0886,133.8584,200
徳島カートランド,34.0392,134.2661,150
香川スポーツランド,34.2989,134.1673,250
瀬戸内海サーキット,33.8871,133.0127,150
ハイランドパークみかわ,33.5854,132.9469,150
モーターランドたぢかわ,33.8559,133.645,150
HSR九州,32.8993,130.8742,600
オートポリス,33.0357,130.9748,1000
SPA直入,33.102,131.409,300
一本クヌギ・スピードウェイ,33.101,131.4405,100
モータースポーツマルチフィールド沖縄,26.3845,127.8057,150
