name,latitude,longitude,radius_m
ＧＲ　Ｇａｒａｇｅ青森中央,40.79603044,140.7613916,71.27500022
ＧＲ　ＧａｒａｇｅＡＳＡＨＩ,34.72050342,135.5381477,30.34458706
ＧＲ　Ｇａｒａｇｅ山形　ＣＵＳＴＯＭＩＺＥ　ＦＡＣＴＯＲＹ,38.23160294,140.328873,31.4459845
ＧＲ　Ｇａｒａｇｅ山口ＣＥＲＵＭＯ,34.15317099,131.4385093,32.85396164
ＧＲ　Ｇａｒａｇｅ八女インター,33.21666321,130.5108629,31.84784041
ＧＲ　Ｇａｒａｇｅウエルコム栗東,35.02952008,136.0084517,48.9732517
ＧＲ　Ｇａｒａｇｅ宇都宮つくるま工房,36.55777545,139.9275928,36.61140368
ＧＲ　Ｇａｒａｇｅ浦和美園,35.89963936,139.7313456,113.3843803
ＧＲ　ＧａｒａｇｅＭＴＧ日の出町,38.2685065,140.9354483,94.29089322
ＧＲ　Ｇａｒａｇｅ岡崎,34.94983758,137.1909361,39.95072979
ＧＲ　Ｇａｒａｇｅ沖縄,26.26722536,127.7147827,104.1640908
ＧＲ　Ｇａｒａｇｅ音更,42.96353699,143.2075731,88.52762838
ＧＲ　Ｇａｒａｇｅ大分中央,33.22728887,131.6284229,39.23042078
ＧＲ　Ｇａｒａｇｅ大阪箕面,34.83547017,135.5109457,23.8314154
ＧＲ　Ｇａｒａｇｅ大阪八尾,34.6436994,135.602396,47.14067506
ＧＲ　Ｇａｒａｇｅオートモール徳島,34.08006539,134.5475657,36.11326784
ＧＲ　Ｇａｒａｇｅ川中島,36.59235069,138.156473,123.0705887
ＧＲ　Ｇａｒａｇｅ観音,34.36360276,132.4121892,56.84784734
ＧＲ　Ｇａｒａｇｅ京都伏見,34.93252197,135.7488012,31.23178323
ＧＲ　Ｇａｒａｇｅ岐阜－ＵＺＵＲＡ　ＢＡＳＥ－,35.37750563,136.7301556,46.16822695
ＧＲ　Ｇａｒａｇｅ熊本中央,32.7735899,130.6944952,39.22969484
ＧＲ　Ｇａｒａｇｅ倉敷,34.58277463,133.7374066,36.16084471
ＧＲ　ＧａｒａｇｅＧＲＯＷ盛岡,39.58226259,141.1690551,32.10963239
ＧＲ　Ｇａｒａｇｅ小牧,35.29336361,136.9025611,14.26331869
ＧＲ　Ｇａｒａｇｅ神戸垂水,34.65838818,135.0703654,64.95908558
ＧＲ　Ｇａｒａｇｅ光明池,34.47377198,135.4674591,25.01749267
ＧＲ　Ｇａｒａｇｅさいたま中央,35.87504324,139.6370795,27.76415426
ＧＲ　Ｇａｒａｇｅ札幌西,43.08049224,141.285578,43.6672339
ＧＲ　Ｇａｒａｇｅ滋賀大津,35.00003466,135.8772338,30.76925286
ＧＲ　Ｇａｒａｇｅ下諏訪,36.06740901,138.0880059,29.30254824
ＧＲ　Ｇａｒａｇｅ周南ＩＮＧＩＮＧ,34.02777275,131.8563268,58.88037921
ＧＲ　Ｇａｒａｇｅ新大阪,34.74586853,135.4981612,19.52590662
ＧＲ　ＧａｒａｇｅＳｕｚｕｋａ　カローラ三重,34.85537268,136.5328239,37.88049347
ＧＲ　Ｇａｒａｇｅ鈴鹿　ＭＩＥ　ＴＯＹＯＴＡ,34.87630449,136.5754995,29.98147471
ＧＲ　Ｇａｒａｇｅ西風新都,34.44628383,132.3932539,83.67559833
ＧＲ　Ｇａｒａｇｅ高崎ＩＣ,36.33804801,139.052382,65.29685956
ＧＲ　Ｇａｒａｇｅ高辻,35.13973993,136.9170902,25.72453716
ＧＲ　Ｇａｒａｇｅ宝塚,34.80350427,135.3642908,34.01117368
ＧＲ　Ｇａｒａｇｅ多摩　Ｔ’ｓ　Ｆａｃｔｏｒｙ,35.76275465,139.3586963,24.94515808
ＧＲ　ＧａｒａｇｅＣＨＡＵＰＹ奈良登美ケ丘,34.72312958,135.7503903,36.67525341
ＧＲ　Ｇａｒａｇｅつくば,36.08727104,140.086694,38.62003526
ＧＲ　ＧａｒａｇｅＴＳタカタ,34.74665544,132.7222233,15.97786455
ＧＲ　Ｇａｒａｇｅ富山新庄,36.70447382,137.2593252,24.59925306
ＧＲ　Ｇａｒａｇｅ豊川,34.83559784,137.4019832,36.16783011
ＧＲ　Ｇａｒａｇｅ豊田土橋,35.06422861,137.133437,20.62599998
ＧＲ　Ｇａｒａｇｅ豊田錦町,35.07283506,137.1599318,19.21741636
ＧＲ　Ｇａｒａｇｅ豊田元町,35.08609893,137.1321255,31.12178175
ＧＲ　Ｇａｒａｇｅトレッサ横浜,35.52541052,139.6449791,206.9045968
ＧＲ　Ｇａｒａｇｅ東京蒲田,35.55232782,139.7171203,62.02173902
ＧＲ　Ｇａｒａｇｅ東京北池袋,35.74526379,139.7086454,28.53609996
ＧＲ　Ｇａｒａｇｅ東京深川,35.67759417,139.8164016,72.05624324
ＧＲ　Ｇａｒａｇｅ東京三鷹,35.68100006,139.541171,42.58112923
ＧＲ　Ｇａｒａｇｅ長野,36.23977575,138.4765417,23.64778284
ＧＲ　Ｇａｒａｇｅ鳴海,35.08602064,136.9476407,63.40017624
ＧＲ　Ｇａｒａｇｅ西宮,34.72867485,135.3339878,62.53706451
ＧＲ　Ｇａｒａｇｅ日進竹の山,35.16105348,137.0412323,42.82211699
ＧＲ　Ｇａｒａｇｅ沼津,35.1011317,138.8466477,41.63139819
ＧＲ　ＧａｒａｇｅＮｅｔｚ群馬　Ｇ’ＳＰｉＣＥ,36.46502736,139.0323308,42.51601224
ＧＲ　ＧａｒａｇｅＮｅｔｚ　Ｓｐｏｒｔ　千葉,35.61504989,140.0874836,40.18303877
ＧＲ　Ｇａｒａｇｅ白山インター,36.54701406,136.5865481,55.52836285
ＧＲ　ＧａｒａｇｅＨＡＴＳＵＫＡＩＣＨＩ,34.34717931,132.3286794,56.62187568
ＧＲ　Ｇａｒａｇｅ東岡山,34.676938,133.9800035,17.6810915
ＧＲ　Ｇａｒａｇｅ姫路,34.87021389,134.7296506,42.20363254
ＧＲ　Ｇａｒａｇｅ福岡空港,33.57197728,130.448984,27.35074915
ＧＲ　Ｇａｒａｇｅ袋井,34.75952295,137.9058164,74.7538295
ＧＲ　ＧａｒａｇｅＭＡＳＴＥＲ　ＯＮＥ　東名川崎,35.58719856,139.5741385,39.14562509
ＧＲ　ＧａｒａｇｅＭａｔｓｕｓａｋａ　カローラ三重,34.58676799,136.5293657,52.671845
ＧＲ　Ｇａｒａｇｅ松本,36.20558443,137.9629571,49.96215317
ＧＲ　Ｇａｒａｇｅ松山,33.82781364,132.7401988,72.96382257
ＧＲ　Ｇａｒａｇｅｍｉｄｒｅｓｓ　豊田,35.06646149,137.1360321,51.7298981
ＧＲ　Ｇａｒａｇｅ水戸インター,36.38630598,140.3924779,27.39223908
ＧＲ　Ｇａｒａｇｅ水戸けやき台,36.34094897,140.4807145,27.2916821
ＧＲ　Ｇａｒａｇｅ港・名四,35.1026076,136.8709562,42.66360732
ＧＲ　ＧａｒａｇｅＹｏｋｋａｉｃｈｉ,34.9601546,136.6214713,18.81394192
ＧＲ　Ｇａｒａｇｅ四日市インター,34.98725926,136.5535205,50.91943723
ＧＲ　Ｇａｒａｇｅ米子,35.43798641,133.3403486,26.92323418
ＧＲ　Ｇａｒａｇｅわかやま岩出,34.26028787,135.313721,32.50015682
ＧＲ　Ｇａｒａｇｅ伊勢,34.50615903,136.7294966,39.89178559
ＧＲ　Ｇａｒａｇｅ一宮,35.31161832,136.7894041,27.67687126
